shortened form,expansion
সা.,সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম
ড.,ডক্টর
ড:,ডক্টর
ডঃ,ডক্টর
ডা.,ডাক্তার
ডা:,ডাক্তার
ডাঃ,ডাক্তার
মো.,মোহাম্মদ
মো:,মোহাম্মদ
মোঃ,মোহাম্মদ
এড.,অ্যাডভোকেট
অ্যাড.,অ্যাডভোকেট
মোছা:,মোছাম্মত
মোছাঃ,মোছাম্মত
খ্রি.,খ্রিষ্টাব্দ
খ্রি:,খ্রিষ্টাব্দ
খ্রিঃ,খ্রিষ্টাব্দ
খ্রী.,খ্রিষ্টাব্দ
খ্রি:পূ:,খ্রিষ্টপূর্বাব্দ
খ্রী:পূ:,খ্রিষ্টপূর্বাব্দ
লে.,লেফট্যানেন্ট
লে:,লেফট্যানেন্ট
লেঃ,লেফট্যানেন্ট
মি.মি.,মিলিমিটার
মিমি.,মিলিমিটার
সেমি,সেন্টিমিটার
সেমি.,সেন্টিমিটার
সে.মি.,সেন্টিমিটার
কি. মি.,কিলোমিটার
কিমি,কিলোমিটার
ব. মি.,বর্গমিটার
হে.,হেক্টর
হে:,হেক্টর
লি.,লিটার
ঘ.মি.,ঘনমিটার
ঘ. মি.,ঘনমিটার
মি.লি.,মিলিলিটার
মি. লি.,মিলিলিটার
মি. গ্রা.,মিলিগ্রাম
মিগ্রা,মিলিগ্রাম
কি. গ্রা.,কিলোগ্রাম
গ্রা.,গ্রাম
ফা:,ফারেনহাইট
হিঃ,হিজরি
মে.টন,মেট্রিক টন
মা.ড,মার্কিন ডলার
কি.ও.ঘ.,কিলো ওয়াট ঘণ্টা
কুই:,কুইন্টাল
মেঃ টন,মেট্রিক টন
মে. টন,মেট্রিক টন
